ticker,financial_period,data_completeness_pct
KE0000000315,FY2025,70.0
KE0000000554,FY2025,80.0
KE1000001568,FY2025,70.0
KE0000000406,FY2025,50.0
KE0000000091,FY2025,90.0
KE1000001402,FY2025,60.0
KE0000000547,FY2025,60.0
KE0000000067,FY2025,80.0
KE0000000216,FY2025,90.0
KE0000000349,FY2025,90.0
KE0000000075,FY2025,90.0
KE0000000273,FY2025,60.0
KE0000000158,FY2025,50.0
KE0000000125,FY2025,60.0
KE0000000463,FY2025,50.0
KE2000002192,FY2025,40.0
KE0000000604,FY2025,80.0
KE0000000117,FY2025,70.0
KE0000000265,FY2025,50.0
