ticker,company,sector,match_status,match_score,cma_company,cma_company_page,report_year,report_url,checked_on,notes
KE0000000281,Kakuzi Ord.5.00,Agricultural,MATCHED,100.0,Kakuzi,https://annualreport.cma.or.ke/company/1/company/2/,2025,https://annualreport.cma.or.ke/media/AGRICULTURAL/Kakuzi/documents/2025.pdf,2026-09-17,Sent to review queue (LOW; 4 points)
KE0000000430,Sasini Ltd Ord 1.00,Agricultural,MATCHED,69.5,Sasini Tea Ltd,https://annualreport.cma.or.ke/company/1/company/6/,2025,https://annualreport.cma.or.ke/media/AGRICULTURAL/Sasini%20Tea%20Ltd/documents/2025.pdf,2026-09-17,Sent to review queue (MEDIUM; 7 points)
KE0000000208,Eaagads Ltd Ord 1.25,Agricultural,MATCHED,100.0,Eaagads,https://annualreport.cma.or.ke/company/1/company/1/,2025,https://annualreport.cma.or.ke/media/AGRICULTURAL/Eaagads/documents/2025.pdf,2026-09-17,Auto-accepted extraction (10 confidence points)
KE0000000505,Williamson Tea Kenya Ltd Ord 5.00,Agricultural,MATCHED,100.0,Williamson Tea Kenya Ltd,https://annualreport.cma.or.ke/company/1/company/7/,2025,https://annualreport.cma.or.ke/media/AGRICULTURAL/Williamson%20Tea%20Kenya%20Ltd/documents/2025.pdf,2026-09-17,PDF has little/no extractable text; possible scanned report
KE4000001760,Kapchorua Tea Co. Ltd Ord Ord 5.00,Agricultural,MATCHED,100.0,Kapchorua Tea,https://annualreport.cma.or.ke/company/1/company/3/,2025,https://annualreport.cma.or.ke/media/AGRICULTURAL/Kapchorua%20Tea/documents/2025.pdf,2026-09-17,PDF has little/no extractable text; possible scanned report
KE0000000356,Limuru Tea Co. Ltd Ord 20.00,Agricultural,MATCHED,100.0,Limuru Tea,https://annualreport.cma.or.ke/company/1/company/4/,2022,https://annualreport.cma.or.ke/media/AGRICULTURAL/Limuru%20Tea/documents/2022.pdf,2026-09-17,Sent to review queue (MEDIUM; 8 points)
KE4000001216,Kurwitu Ventures,Investment,MATCHED,100.0,Kurwitu Ventures Ltd,https://annualreport.cma.or.ke/company/9/company/49/,2022,https://annualreport.cma.or.ke/media/INVESTMENT/Kurwitu%20Ventures%20Ltd/documents/2022.PDF,2026-09-17,PDF has little/no extractable text; possible scanned report
KE0000000265,Centum Investment Co Ltd Ord 0.50,Investment,MATCHED,100.0,Centum Investment Co Ltd,https://annualreport.cma.or.ke/company/9/company/47/,2022,https://annualreport.cma.or.ke/media/INVESTMENT/Centum%20Investment%20Co%20Ltd/documents/2022.pdf,2026-09-17,Sent to review queue (MEDIUM; 8 points)
KE0000000166,Olympia Capital Holdings ltd Ord 5.00,Investment,MATCHED,100.0,Olympia Capital Holdings,https://annualreport.cma.or.ke/company/9/company/50/,2022,https://annualreport.cma.or.ke/media/INVESTMENT/Olympia%20Capital%20Holdings/documents/2022.pdf,2026-09-17,PDF has little/no extractable text; possible scanned report
KE2000007258,Home Afrika Ltd Ord 1.00,Investment,MATCHED,100.0,Home Afrika Ltd,https://annualreport.cma.or.ke/company/9/company/48/,2022,https://annualreport.cma.or.ke/media/INVESTMENT/Home%20Afrika%20Ltd/documents/2022.pdf,2026-09-17,Sent to review queue (LOW; 5 points)
KE2000002184,Trans-Century Ltd Ord 0.50,Investment,MATCHED,100.0,Trans-Century Ltd,https://annualreport.cma.or.ke/company/9/company/51/,2020,https://annualreport.cma.or.ke/media/INVESTMENT/Trans-Century%20Ltd/documents/2020.pdf,2026-09-17,Sent to review queue (MEDIUM; 6 points)
KE0000000224,Express Ltd Ord 5.00,Commercial,MATCHED,100.0,Express Kenya Ltd,https://annualreport.cma.or.ke/company/5/company/26/,2021,https://annualreport.cma.or.ke/media/COMMERCIAL%20AND%20SERVICES/Express%20Kenya%20Ltd/documents/2021.pdf,2026-09-17,Sent to review queue (LOW; 3 points)
KE0000000307,Kenya Airways Ltd Ord 5.00,Commercial,MATCHED,100.0,Kenya Airways Ltd,https://annualreport.cma.or.ke/company/5/company/27/,2022,https://annualreport.cma.or.ke/media/COMMERCIAL%20AND%20SERVICES/Kenya%20Airways%20Ltd/documents/2022.pdf,2026-09-17,Sent to review queue (LOW; 5 points)
KE0000000380,Nation Media Group Ord. 2.50,Commercial,MATCHED,100.0,Nation Media Group Plc,https://annualreport.cma.or.ke/company/5/company/30/,2022,https://annualreport.cma.or.ke/media/COMMERCIAL%20AND%20SERVICES/Nation%20Media%20Group%20Plc/documents/2022.PDF,2026-09-17,PDF has little/no extractable text; possible scanned report
KE0000000562,Scangroup Ltd Ord 1.00,Commercial,MATCHED,100.0,Scangroup,https://annualreport.cma.or.ke/company/5/company/31/,2020,https://annualreport.cma.or.ke/media/COMMERCIAL%20AND%20SERVICES/Scangroup/documents/2020.pdf,2026-09-17,PDF has little/no extractable text; possible scanned report
KE0000000455,Standard Group Ltd Ord 5.00,Commercial,MATCHED,100.0,Standard Group Plc,https://annualreport.cma.or.ke/company/5/company/32/,2022,https://annualreport.cma.or.ke/media/COMMERCIAL%20AND%20SERVICES/Standard%20Group%20Plc/documents/2022.pdf,2026-09-17,Sent to review queue (MEDIUM; 8 points)
KE0000000539,TPS Eastern Africa (Serena) Plc Ord 1.00,Commercial,MATCHED,82.6,TPS Eastern Africa Ltd,https://annualreport.cma.or.ke/company/5/company/33/,2022,https://annualreport.cma.or.ke/media/COMMERCIAL%20AND%20SERVICES/TPS%20Eastern%20Africa%20Ltd/documents/2022.pdf,2026-09-17,Sent to review queue (MEDIUM; 9 points)
KE0000000489,Uchumi Supermarket Ltd Ord 5.00,Commercial,MATCHED,100.0,Uchumi Supermarket Plc,https://annualreport.cma.or.ke/company/5/company/34/,2017,https://annualreport.cma.or.ke/media/COMMERCIAL%20AND%20SERVICES/Uchumi%20Supermarket%20Plc/documents/2017.pdf,2026-09-17,PDF has little/no extractable text; possible scanned report
KE0000000588,Eveready East Africa Ltd Ord.1.00,Commercial,MATCHED,100.0,Eveready East Africa Ltd,https://annualreport.cma.or.ke/company/5/company/25/,2022,https://annualreport.cma.or.ke/media/COMMERCIAL%20AND%20SERVICES/Eveready%20East%20Africa%20Ltd/documents/2022.pdf,2026-09-17,PDF has little/no extractable text; possible scanned report
KE0000000232,Sameer Africa Ltd Ord 5.00,Commercial,MATCHED,100.0,Sameer Africa Ltd,https://annualreport.cma.or.ke/company/3/company/10/,2025,https://annualreport.cma.or.ke/media/AUTOMOBILES%20AND%20ACCESSORIES/Sameer%20Africa%20Ltd/documents/2025.pdf,2026-09-17,Auto-accepted extraction (12 confidence points)
KE2000002275,Longhorn Kenya Ltd 1.00,Commercial,MATCHED,60.4,Longhorn Publishers Ltd,https://annualreport.cma.or.ke/company/5/company/28/,2023,https://annualreport.cma.or.ke/media/COMMERCIAL%20AND%20SERVICES/Longhorn%20Publishers%20Ltd/documents/2023.pdf,2026-09-17,Sent to review queue (LOW; 4 points)
KE5000005438,Deacons (East Africa) Plc Ord 2.50,Commercial,MATCHED,72.4,Decons (East Africa) Plc,https://annualreport.cma.or.ke/company/5/company/24/,2018,https://annualreport.cma.or.ke/media/COMMERCIAL%20AND%20SERVICES/Decons%20(East%20Africa)%20Plc/documents/2018.PDF,2026-09-17,PDF has little/no extractable text; possible scanned report
KE5000000090,Nairobi Business Ventures Ltd,Commercial,MATCHED,100.0,Nairobi Business Ventures Ltd,https://annualreport.cma.or.ke/company/5/company/29/,2023,https://annualreport.cma.or.ke/media/COMMERCIAL%20AND%20SERVICES/Nairobi%20Business%20Ventures%20Ltd/documents/2023.pdf,2026-09-17,Sent to review queue (LOW; 0 points)
KE7000001433,Homeboyz Entertainment Plc,Commercial,UNMATCHED,26.8,Centum Investment Co Ltd,https://annualreport.cma.or.ke/company/9/company/47/,,,2026-09-17,No sufficiently strong CMA company match
KE0000000091,Stanbic Holdings Ltd ord.5.00,Banking,MATCHED,100.0,Stanbic Holdings Limited,https://annualreport.cma.or.ke/company/4/company/21/,2022,https://annualreport.cma.or.ke/media/BANKING/Stanbic%20Holdings%20Limited/documents/2022.pdf,2026-09-17,Auto-accepted extraction (11 confidence points)
KE0000000158,Diamond Trust Bank Kenya Ltd Ord 4.00,Banking,MATCHED,100.0,Diamond Trust Bank Kenya,https://annualreport.cma.or.ke/company/4/company/14/,2025,https://annualreport.cma.or.ke/media/BANKING/Diamond%20Trust%20Bank%20Kenya/documents/2025.pdf,2026-09-17,Sent to review queue (MEDIUM; 8 points)
KE0000000554,Equity Bank Ltd Ord 0.50,Banking,MATCHED,100.0,Equity Bank,https://annualreport.cma.or.ke/company/4/company/15/,2024,https://annualreport.cma.or.ke/media/BANKING/Equity%20Bank/documents/2024.pdf,2026-09-17,Sent to review queue (LOW; 0 points)
