ticker,financial_period,source_name,source_type,source_url,verified_on,eps,book_value_per_share,profit_after_tax,prior_profit_after_tax,revenue,prior_revenue,total_equity,prior_total_equity,ebit,finance_cost,roe_pct,net_margin_pct,interest_cover,dividend_per_share,dividend_years,payout_ratio_pct,earnings_growth_pct,revenue_growth_pct,governance_flag
KE0000000315,FY2025,KCB Group Plc 2025 Integrated Report & Financial Statements,Audited annual report,https://kcbgroup.com/download/eyJpdiI6ImVuSkVNUTJtQTJEYjFtZlRaUmdXMFE9PSIsInZhbHVlIjoiRzZrT2loYlFIbkdOUmgwT1d1STM2Q0p0MnMzWjI3eHQrbkNzK041LzRVblRlM1NNd01WVDBNWFBtZDhYSGZ6OEVpWG5YOEl1N3VySTFtUTdDOWhwOTBvSWdSUHVhckMwdndlUXpsdjJnMmM9IiwibWFjIjoiMGIzOGQ1MThkZDkyMjc1YzA2ZmUyZDk0MDFjOTUxMzdmNGM5NzA0N2I5ZGZkZTFlYWEyYTI4NDI1ZGY4NzFjMyIsInRhZyI6IiJ9?signature=8e8e63829043341c6d39e5f3ed28d3a6c0505b017a1be2991342876373d8f567,2026-09-17,20.8,,68351,61775,203199,187524,,,,,,,,7.0,4,,,,0
KE0000000554,FY2025,Equity Group Holdings Plc FY2025 Investor Booklet / Results,Audited annual results,https://equitygroupholdings.com/wp-content/uploads/2026/03/Equity-Group-Holdings-PLC-FY-2025-Investor-Booklet.pdf,2026-09-17,19.1,,75500,48800,217700,193800,,,,,26.7,,,5.75,5,,55.0,12.0,0
KE1000001568,FY2025,Co-operative Bank of Kenya 2025 Integrated Report,Audited annual report,https://www.co-opbank.co.ke/wp-content/uploads/2026/05/2025-Co-op-Bank-Integrated-Report-Web.pdf,2026-09-17,4.51,,26453.63,22988.096,82379.729,73414.733,,,,,,,,2.5,5,,,,0
KE0000000406,FY2025,NCBA Group Plc 2025 Integrated Annual Report,Audited annual report,https://ncbagroup.com/wp-content/uploads/2026/06/NCBA-Group-Plc-Annual-2025-Integrated-Report.pdf,2026-09-17,14.2,,23400.299,21881.139,,,,,,,,,,5.75,5,,,,0
KE0000000091,FY2025,Stanbic Holdings Plc Integrated Report 2025,Audited annual report,https://www.stanbicbank.co.ke/static_file/Kenya/Downloadable%20files/Stanbic%20Holdings%20PLC/Annual%20Reports/2025/Stanbic_Holdings_Annual_Integrated_Report_2025.pdf,2026-09-17,34.7,202.91,13718,13716,38511,39743,80149,75400,,,17.64,,,22.35,5,,,,0
KE1000001402,FY2025,Safaricom PLC FY25 Results Booklet,Audited annual results,https://www.safaricom.co.ke/images/Downloads/FY25-Earnings-Booklet_May-9-2025.pdf,2026-09-17,1.74,,69798.7,62991.7,388688.9,349447.2,,,104050.1,20909.4,,,,,5,,,,0
KE0000000547,FY2025,KenGen Audited Results for Year Ended 30 June 2025,Audited annual results,https://www.kengen.co.ke/images/KenGen_Financial_Results_2025.pdf,2026-09-17,,,10481.077,6797.012,56098,56297,284544,278106,,2254,3.72,,,0.9,5,,54.0,,0
KE0000000067,FY2025,Absa Bank Kenya PLC 2025 Integrated Report,Audited annual report,https://annualreport.cma.or.ke/media/BANKING/Barclays%20Bank/documents/2025.pdf,2026-09-17,4.22,,22900,20900,61400,62600,,,,,22.8,,,2.05,5,,10.0,-2.0,0
KE0000000216,FY2025,EABL Condensed Audited Results for Year Ended 30 June 2025,Audited annual results,https://www.eabl.com/~/media/Files/E/eabl/documents/investor/financial-result/2025/eabl-f25-full-year-2025-financial-results-press-release.pdf,2026-09-17,11.97,,12198,10870,128791,124131,42287,36732,25171,5859,,,,8.0,5,,,,0
KE0000000349,FY2025,Kenya Power Audited Financial Results for Year Ended 30 June 2025,Audited annual results,https://kplc.co.ke/storage/01K6Z8XAY9BAVJP0EQY2RYRS13.pdf,2026-09-17,12.54,,24467,30080,219285,231124,109335,87314,39467,4717,,,,1.0,5,,,,0
KE0000000075,FY2025,BAT Kenya Combined Annual and Sustainability Report 2025,Audited annual report,https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/BATK_Combined_Annual_and_Sustainability_Report_2025.pdf,2026-09-17,52.46,,5245.617,4483.37,23200,25700,15485.431,15733.13,7474.835,13.311,,,,70.0,5,,,-10.0,0
KE0000000273,FY2025,Jubilee Holdings 2025 Annual Integrated Report,Audited annual report,https://jubileeinsurance.com/group/wp-content/uploads/2026/06/Jubilee-Holdings-2025-Annual-Integrated-Report.pdf,2026-09-17,80.0,,5550.648,4721.821,,,55606.596,51182.318,,,,,,15.0,5,,,,0
KE0000000158,FY2025,Diamond Trust Bank Kenya 2025 Integrated Report and Financial Statements,Audited annual report,https://dtbk.dtbafrica.com/reports,2026-09-17,33.65,,9407.24,7642.44,,,,,,,,,,9.0,5,,,,0
KE0000000125,FY2025,I&M Group PLC Annual Integrated Report and Financial Statements 2025,Audited annual report,https://www.imbankgroup.com/wp-content/uploads/2026/05/2025-INTEGRATED-REPORT-TPALAZEDIT8.pdf,2026-09-17,10.79,,19837.127,15936.643,60327.12,,,,,,,,,3.75,5,,,,0
KE0000000463,FY2025,TotalEnergies Marketing Kenya Annual Report & Financial Statements 2025,Audited annual report,https://totalenergies.ke/about-us/shareholder-information/financials,2026-09-17,3.45,,2170.88,1487.43,104019.37,114212.92,,,,,,,,,5,,45.95,-8.92,0
KE2000002192,FY2025,Britam Holdings PLC 2025 Integrated Report & Audited Financial Statements,Audited annual report,https://www.britam.com/images/FormsAndDownloads/Britam%20%20Integrated%20Report%20%20and%20Audited%20Financial%20Statements_final_2025.pdf,2026-09-17,2.18,,5500.808,5005.352,41654.194,37556.734,,,,,,,,,,,,,0
KE0000000604,FY2025,Kenya Re Integrated Annual Report 2025,Audited annual report,https://kenyare.co.ke/resources/investor-relations/kenya-re-integrated-annual-report-2025,2026-09-17,0.6,,3860,4440,12600,14200,52600,48800,,,,,,0.15,5,,-12.9,-11.1,0
