ticker,financial_period,source_name,source_type,source_url,verified_on,eps,book_value_per_share,profit_after_tax,prior_profit_after_tax,revenue,prior_revenue,total_equity,prior_total_equity,ebit,finance_cost,roe_pct,net_margin_pct,interest_cover,dividend_per_share,dividend_years,payout_ratio_pct,earnings_growth_pct,revenue_growth_pct,governance_flag,company,match_score,extraction_confidence,extraction_notes
KE0000000281,FY2025,Kakuzi 2025 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/AGRICULTURAL/Kakuzi/documents/2025.pdf,2026-09-17,,,,,,,5472048.0,5811193.0,396849.0,5.0,,,,,,,,,0,Kakuzi Ord.5.00,100.0,LOW,4 confidence points; manual review before acceptance
KE0000000430,FY2025,Sasini Tea Ltd 2025 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/AGRICULTURAL/Sasini%20Tea%20Ltd/documents/2025.pdf,2026-09-17,0.85,,18.0,10687.0,8526358.0,6893826.0,,,,13.0,,,,,,,,,0,Sasini Ltd Ord 1.00,69.5,MEDIUM,7 confidence points; manual review before acceptance
KE0000000356,FY2022,Limuru Tea 2022 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/AGRICULTURAL/Limuru%20Tea/documents/2022.pdf,2026-09-17,13.0,,11345.0,11345.0,6.0,122937.0,194187.0,182290.0,,,,,,,,,,,0,Limuru Tea Co. Ltd Ord 20.00,100.0,MEDIUM,8 confidence points; manual review before acceptance
KE0000000265,FY2022,Centum Investment Co Ltd 2022 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/INVESTMENT/Centum%20Investment%20Co%20Ltd/documents/2022.pdf,2026-09-17,2.6,,,,1662.0,1517.0,43296893.0,43118454.0,592.0,-540.0,,,,,,,,,0,Centum Investment Co Ltd Ord 0.50,100.0,MEDIUM,8 confidence points; manual review before acceptance
KE2000007258,FY2022,Home Afrika Ltd 2022 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/INVESTMENT/Home%20Afrika%20Ltd/documents/2022.pdf,2026-09-17,,,,,237396323.0,349325969.0,-2628063861.0,-2562955815.0,,-40412546.0,,,,,,,,,0,Home Afrika Ltd Ord 1.00,100.0,LOW,5 confidence points; manual review before acceptance
KE2000002184,FY2020,Trans-Century Ltd 2020 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/INVESTMENT/Trans-Century%20Ltd/documents/2020.pdf,2026-09-17,,,,,6.0,5.0,-9632091.0,7577831.0,7.0,1.0,,,,,,,,,0,Trans-Century Ltd Ord 0.50,100.0,MEDIUM,6 confidence points; manual review before acceptance
KE0000000224,FY2021,Express Kenya Ltd 2021 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/COMMERCIAL%20AND%20SERVICES/Express%20Kenya%20Ltd/documents/2021.pdf,2026-09-17,,,,,34661.0,60000.0,,,,-8958.0,,,,,,,,,0,Express Ltd Ord 5.00,100.0,LOW,3 confidence points; manual review before acceptance
KE0000000307,FY2022,Kenya Airways Ltd 2022 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/COMMERCIAL%20AND%20SERVICES/Kenya%20Airways%20Ltd/documents/2022.pdf,2026-09-17,,,,,117.0,,168912.0,155555.0,-5616.0,9.0,,,,,,,,,0,Kenya Airways Ltd Ord 5.00,100.0,LOW,5 confidence points; manual review before acceptance
KE0000000455,FY2022,Standard Group Plc 2022 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/COMMERCIAL%20AND%20SERVICES/Standard%20Group%20Plc/documents/2022.pdf,2026-09-17,,,-79800.0,16487.0,47.0,35.0,3918566.0,3815884.0,-548758.0,13.0,,,,,,,,,0,Standard Group Ltd Ord 5.00,100.0,MEDIUM,8 confidence points; manual review before acceptance
KE0000000539,FY2022,TPS Eastern Africa Ltd 2022 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/COMMERCIAL%20AND%20SERVICES/TPS%20Eastern%20Africa%20Ltd/documents/2022.pdf,2026-09-17,1.45,,337587.0,42108.0,6944306.0,3287798.0,9642215.0,7647893.0,,10.0,,,,,,,,,0,TPS Eastern Africa (Serena) Plc Ord 1.00,82.6,MEDIUM,9 confidence points; manual review before acceptance
KE2000002275,FY2023,Longhorn Publishers Ltd 2023 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/COMMERCIAL%20AND%20SERVICES/Longhorn%20Publishers%20Ltd/documents/2023.pdf,2026-09-17,,,,,402455000.0,,289780.0,862622.0,,37.0,,,,,,,,,0,Longhorn Kenya Ltd 1.00,60.4,LOW,4 confidence points; manual review before acceptance
