date,ticker,price,volume
2026-09-16,KE0000000034,5.55,0
2026-09-16,KE0000000042,195.25,7977
2026-09-16,KE0000000059,54.0,0
2026-09-16,KE0000000067,31.25,908946
2026-09-16,KE0000000075,551.0,12724
2026-09-16,KE0000000091,281.25,176769
2026-09-16,KE0000000109,266.0,13358
2026-09-16,KE0000000117,40.8,28603
2026-09-16,KE0000000125,79.5,531626
2026-09-16,KE0000000141,61.75,3385
2026-09-16,KE0000000158,182.25,579724
2026-09-16,KE0000000166,7.74,190
2026-09-16,KE0000000174,1.71,0
2026-09-16,KE0000000190,116.5,1938
2026-09-16,KE0000000208,27.25,196
2026-09-16,KE0000000216,286.25,82864
2026-09-16,KE0000000224,7.24,15479
2026-09-16,KE0000000232,17.4,17986
2026-09-16,KE0000000240,12.45,2948981
2026-09-16,KE0000000265,18.7,116559
2026-09-16,KE0000000273,411.5,1528
2026-09-16,KE0000000281,423.25,146
2026-09-16,KE0000000307,5.68,1091912
2026-09-16,KE0000000315,84.25,4879816
2026-09-16,KE0000000331,339.75,579
2026-09-16,KE0000000349,21.95,3932304
2026-09-16,KE0000000356,535.0,67
2026-09-16,KE0000000372,0.27,0
2026-09-16,KE0000000380,15.25,24936
2026-09-16,KE0000000398,4.12,0
2026-09-16,KE0000000406,87.5,43664
2026-09-16,KE0000000414,10.4,28463
2026-09-16,KE0000000430,24.55,26467
2026-09-16,KE0000000448,329.5,15750
2026-09-16,KE0000000455,6.08,5306
2026-09-16,KE0000000463,46.35,20338
2026-09-16,KE0000000489,1.23,120644
2026-09-16,KE0000000497,40.9,12291
2026-09-16,KE0000000505,160.25,7557
2026-09-16,KE0000000539,17.25,5329
2026-09-16,KE0000000547,10.6,2021075
2026-09-16,KE0000000554,96.25,1155085
2026-09-16,KE0000000562,2.03,32163
2026-09-16,KE0000000588,1.01,167043
2026-09-16,KE0000000604,4.14,2844115
2026-09-16,KE1000001402,35.1,10775518
2026-09-16,KE1000001568,33.55,687763
2026-09-16,KE2000002168,9.12,6546
2026-09-16,KE2000002184,1.12,0
2026-09-16,KE2000002192,19.0,126556
2026-09-16,KE2000002275,2.92,13930
2026-09-16,KE2000002317,4.71,1288228
2026-09-16,KE2000007258,1.11,342731
2026-09-16,KE3000009674,27.25,620168
2026-09-16,KE4000001216,1355.0,3
2026-09-16,KE4000001323,2.04,15574
2026-09-16,KE4000001760,335.5,1761
2026-09-16,KE5000000090,1.27,35012
2026-09-16,KE5000005438,0.45,0
2026-09-16,KE5000008986,58.75,14006
2026-09-16,KE7000001433,4.66,0
2026-09-16,KE9100008870,20.0,0
2026-09-16,KE9900001216,17.5,24614
2026-09-16,KE9900006215,9.0,844258
2026-09-16,KE9900006322,0.0,0
2026-09-16,KE9930006987,29.35,222074
2026-09-16,KE9930007092,1.23,0
2026-09-16,UG0000001145,5.48,371206
2026-09-16,ZAE000060067,5200.0,183
2026-09-16,ZAE000246104,959.0,641
